,NAME,POSITION,EDUCATION
489,"Mott, Jennifer (2014) Mechanical Engineering",Assistant Professor,"B.S., California Polytechnic State University, 2005; M.S., University of Illinois at Urbana-Champaign, 2007; Ph.D., University of Illinois at Urbana-Champaign, 2012."
490,"Muleta, Misgana (2008) Civil and Environmental Engineering",Professor and Department Chair,"B.S., Arba Minch University, 1996; M.S., National University of Ireland, Galway, 1999; Ph.D., Southern Illinois University, Carbondale, 2003. Registered Professional Engineer, California."
491,"Munoz-Christian, Karen (2007) World Languages and Cultures",Professor and Department Chair,"B.S., Iowa State University, 1981; M.A., Wichita State University 1985; Ph.D., University of California, Irvine, 1994."
492,"Murphy, Kate (2007) College of Liberal Arts, History",Associate Dean and Professor,"B.A., University of Virginia, 2001; M.A. Johns Hopkins University, 2003; Ph.D., 2007"
493,"Murray, William R. (1999) Mechanical Engineering",Professor,"B.S., University of Texas, Austin, 1975; M.S., 1976; Ph.D., Massachusetts Institute of Technology, 1988."
494,"Mwangi, James (2003) Architectural Engineering",Associate Dean and Professor,"B.Sc., University of Nairobi, Kenya, 1984; MSc., University of Lagos, Nigeria; Ph.D., University of California, Davis, 2001. Registered Structural Engineer and Professional Engineer, California."
495,"Myers, Allison (2020) Art and Design",Assistant Professor,"B.A., Webster University, Saint Louis, Missouri, 2007; M.A., The University of Texas at Austin, 2009; Ph.D., The University of Texas at Austin, 2018."
496,"Nafisi, Ahmad (1983) Electrical Engineering",Professor,"B.S., Arya Mehr University of Technology, Iran, 1975; M.S., University of Southern California, 1977; Ph.D., 1983."
497,"Nation, Jasmine (2020) Liberal Studies",Assistant Professor,"B.S. B.A., University of Arizona, 2009; M.A., Univeristy of California, Santa Barbara, 2017; Ph.D., University of California, Santa Barbara, 2019."
498,"Navarro, Jenell R. (2012) Ethnic Studies",Associate Professor and Department Chair,"B.A., Oklahoma Baptist University, 2001; M.A., Claremont Graduate University, 2007; Ph.D., 2011."
499,"Navarro, Jose (2012) Ethnic Studies",Professor,"B.A., University of California, Berkeley, 2002; M.A., University of Southern California, 2008; Ph.D., 2012."
500,"Nazmi, Aydin (2009) Food Science and Nutrition",Professor,"B.S., University of California, Davis, 1998; M.S., University of London, U.K.; 2004; Ph.D., Federal University of Pelotas, Brazil, 2007."
501,"Neff, Grace Ann (1995) Chemistry and Biochemistry",Professor,"B.S., New Mexico State University, 1989; Ph.D., University of Oregon, 1998."
502,"Neill, Dawn (2008) College of Liberal Arts, Interdisciplinary Studies in the Liberal Arts",Professor,"B.A., Louisiana State University, 1996; M.A., 1999; M.A., University of Washington, 2004; Ph.D., 2007."
503,"Neill, Stern (2008) Marketing",Professor,"B.A., Louisiana State University, 1992; M.B.A., Southeastern Louisiana University, 1994; Ph.D., Louisiana State University, 2000."
504,"Nelson, Jill (2008) Architectural Engineering",Associate Professor Emeritus (FERP),"B.S., University of Nevada, Reno, 1978; M.S., University of Washington, 1982. Registered Structural and Civil Engineer, California and Washington; LEED AP."
505,"Nelson, Yarrow M. (1999) Civil and Environmental Engineering",Professor Emeritus (FERP),"B.S., University of California, Berkeley, 1979; M.S., Cornell University, 1992; Ph.D., 1997."
506,"Nelson, Leslie R. (2018) Communication Studies",Assistant Professor,"B.A., University of Nebraska, Lincoln, 2012; M.A., University of Missouri, 2014; Ph.D., 2018."
507,"Neumann, Natasha (2019) School of Education",Assistant Professor,"B.A., University of California, San Diego, 1997; M.A., Azusa Pacific University, Azusa, 2008; Ed.D., University of Southern California, Los Angeles, 2017."
508,"Nico, Phillip L. (2000) Computer Science",Professor,"B.A., University of California, Berkeley, 1991; M.S., University of California, Davis, 1994; Ph.D., 2000."
509,"Niku, Saeed B. (1983) Mechanical Engineering",Professor Emeritus (FERP),"B.S., Tehran Polytechnic University, 1975; M.S., Stanford University, 1976; Ph.D., University of California, Davis, 1982. Registered Professional Engineer, California."
510,"Noori, Mohammad (2005) Mechanical Engineering",Professor,"B.S., University of Illinois at Urbana-Champaign, 1977; M.S., Oklahoma State University, 1980; Ph.D., University of Virginia, 1984."
511,"Nuttall, Brent (2003) Architectural Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1986; M.S., University of California, Berkeley, 1987. Registered Structural and Civil Engineer, California."
512,"Nuworsoo, Cornelius K. (2005) City and Regional Planning",Professor,"B.S., University of Science and Technology, Ghana, 1981; M.S., Morgan State University, 1986; MCP, University of California, Berkeley, 2002; Ph.D., 2004. American Institute of Certified Planners. Institute of Transportation Engineers."
513,"O'Bryant, Camille P. (1999) College of Science and Mathematics, Kinesiology and Public Health",Associate Dean and Professor,"A.B., 1983; M.S., Smith College, 1986; PhD., The Ohio State University, 1996."
514,"O'Hara, Christine E. (2008) Landscape Architecture",Professor,"B.A., Stanford University, 1987; M.L.A. University of Washington, 2002. Certificate in Preservation Planning."
515,"Oliver, John Y. (2007) Computer Engineering",Professor,"B.S., Boston University, 1998; M.S., University of California, Davis, 2006; Ph.D., University of California, Davis, 2007"
516,"Olsen, Eric (2004) Industrial Technology and Packaging",Professor,"B.S., University of Maine at Orono, 1979; M.B.A., Virginia Polytechnic Institute and State University, 1987; Ph.D., The Ohio State University, 2004."
517,"Olsen, Clare (2011) Architecture",Professor,"B.A., Brown University, 1997; M.Arch., University of California, Los Angeles, 2003. Registered Architect, New Jersey."
518,"Orson, Patrick (2022) Mathematics",Assistant Professor,"B.A., University of Cambridge, 2008; M.A., 2012; Ph.D., University of Edinburgh, 2015."
519,"Orth, Joel J. (2003) History",Associate Professor,"B.A., California Polytechnic State University, San Luis Obispo, 1996; M.A., Iowa State University, 1998; Ph.D., 2004."
520,"Osborn, Brian (2016) Architecture",Associate Professor,"B.L.A. California Polytechnic State University, San Luis Obispo, 2001; M.Arch, Pratt Institute, School of Architecture, Brooklyn, New York, 2008. Licensed Landscape Architect in the Commonwealth of Virginia, NCARB."
521,"Oulton, Rebekah L. (2013) Civil and Environmental Engineering",Associate Professor,"B.S., Harvey Mudd College, 1993; M.S., 1994; Ph.D., University of Iowa, 2013. Registered Professional Engineer, California. Leed Accredited Professional."
522,"Oza, Javin P. (2016) Chemistry and Biochemistry",Associate Professor,"B.S., University of California, Santa Barbara; Ph.D., Univeristy of California, Santa Barbara"
523,"Oñate-Madrazo, Andrea (2016) History",Assistant Professor,"B.A., New York University, 2003; M.A., Princeton University, 2011: Ph.D., 2016"
524,"Pal, Nirupam (1995) Civil and Environmental Engineering",Professor,"B. Tech, Calcutta University, India, 1984; M. Tech, 1986; Ph.D., New Jersey Institute of Technology, 1993."
525,"Palandoken, H.H. (2009) Chemistry and Biochemistry",Professor,"B.S., California State University, Chico, 1993; M.S., University of California, Davis, 1997; Ph.D., 2006."
526,"Pan, Jianbiao J. (2003) Industrial and Manufacturing Engineering",Professor,"B.E., Xidian University, Xian, China, 1990; M.S., Tsinghua University, Beijing, China, 1996; Ph.D., Lehigh University, 2000. Certified Quality Engineer. Certified Reliability Engineer."
527,"Pande, Anurag (2008) Civil and Environmental Engineering",Professor,"B.Tech., Indian Institute of Technology, Bombay, 2002; M.S., University of Central Florida, 2003; Ph.D., 2005."
528,"Pantoja, Maria (2016) Computer Science",Associate Professor,"B.S., University of Valencia, Spain, 1992; M.S., California State University, East Bay, 2004; Ph.D. Santa Clara University, 2009."
529,"Paquin, Dana (2008) Mathematics",Professor,"B.S., Davidson College, 2002; Ph.D., Stanford University, 2007."
530,"Park, Michael (2019) Journalism",Assistant Professor,"B.A., University of California, Los Angeles, 1999; J.D., University of California, 2004; Ph.D., Annenberg School for Communication Journalism, 2014."
531,"Parrotta, Kylie Lynn (2019) Social Sciences",Assistant Professor,"BA Psychology - NC State 2002, MS Sociology - NC State 2006 , PhD Sociology - NC State 2015"
532,"Pascual, Christopher C. (2000) Mechanical Engineering",Professor,"B.S., Cornell University, 1985; M.S., Georgia Institute of Technology, 1996; Ph.D., 1999. Registered Professional Engineer, California."
533,"Pasulka, Alexis L. (2017) Biological Sciences",Assistant Professor,"B.S., Arizona State University, 2005; M.S., University of California, San Diego, 2009. Ph.D., 2013."
534,"Patel, Pratish A. (2013) Finance",Associate Professor,"B.S., Georgia Institute of Technology, 2002; M.S., UC Berkeley, 2005; Ph.D., UC Berkeley, 2013."
535,"Pearse, Erin P.J. (2012) Mathematics",Professor,"B.S., University of California, Riverside, 1998; M.S., 2001; Ph.D., 2006."
536,"Perrine, John D. (2008) Biological Sciences",Professor,"B.S., Vanderbilt University, 1991; M.S., Miami University, Ohio, 1995; Ph.D., University of California, Berkeley, 2005."
537,"Peters, Jason (2015) English",Associate Professor,"B.A., Rhode Island College, 1999; M.F.A., Emerson College, 2010; Ph.D., University of Rhode Island, 2015."
538,"Peterson, Daniel G. (2003) Animal Science",Professor,"B.S., University of California, Davis, 1999; Ph.D., Cornell University, 2003."
539,"Peterson, Zachary (2013) Computer Science",Professor,"B.S., Univ of CA, Santa Cruz, 2000; M.S., 2002; M.S., The Johns Hopkins University Information Security Institute, 2005; Ph.D., The Johns Hopkins University, 2006."
540,"Peuker, Steffen (2014) Mechanical Engineering",Associate Professor,"Dipl.-Ing. (FH), Mannheim University of Applied Sciences, Mannheim, Germany; M.S., University of Illinois at Urbana-Champaign, 2006; Ph.D., 2010."
541,"Phelan, Suzanne (2008) Kinesiology and Public Health",Professor,"B.A./B.S., University of Colorado at Boulder, 1989; M.A., MCP Hahnemann University, 1999; Ph.D., 2001."
542,"Phillips, Stephen J. (2005) Architecture",Professor,"B.A.Arch., Yale, 1991; M.Arch., University of Pennsylvania Graduate School of Architecture, 1994; M.A., Princeton, 2003; Ph.D., 2008. Registered Architect., California."
543,"Piburn, Patti (2006) Journalism",Assistant Professor,"B.S., Arizona State University, Tempe, 1995; B.A., Arizona State University, Tempe, 1995; M.S., South Dakota State University, Brookings, 2013; Ph.D. ABD, Walter Cronkite School of Journalism Mass Communication, 2019."
544,"Pierce, Todd J. (2005) English",Professor,"B.A., Southern California College, 1988; M.A., Oregon State University, 1992; M.F.A., University of California, Irvine, 1995; Ph.D., Florida State University, 2003."
545,"Pilkington, Wayne (2005) Electrical Engineering",Associate Professor,"B.S., Lafayette College, 1981; M.S., Rochester Institute of Technology, 1989; M.S., University of Rochester, 1999; Ph.D., 2005."
546,"Pilolla, Kari (2014) Food Science and Nutrition",Associate Professor,"B.S., California State University, Fresno, 1998; M.S., San Diego State University, 2002; Ph.D., Oregon State University, 2013; Registered Dietitian."
547,"Pokharel, Siroj (2018) Animal Science",Assistant Professor,"B.S., University of Arizona, 2013; M.S., University of Arizona, 2015; Ph.D., University of Tennessee, Knoxville, 2018."
548,"Ponitz, Jeffrey A. (2011) Architecture",Associate Professor,"B.S., University of Michigan, 2002; M.Arch., 2004; M.Arch., University of Virginia, 2008. Registered Architect, Illinois."
549,"Poon, Jason (2022) Electrical Engineering",Assistant Professor,"B.S., Olin College, 2012; M.S., University of California, Berkeley, 2015; Ph.D., University of California, Berkeley, 2019."
550,"Porumamila, Hemanth (2008) Mechanical Engineering",Associate Professor,"B.E., BMS College of Engineering, Bangalore, India, 2000; M.S., Iowa State University, 2003; Ph.D., 2007."
551,"Poshtan, Majid (2015) Electrical Engineering",Associate Professor,"B.S., Tehran University-Tehran 1988; M.Sc., University of New Brunswick,-Fredericton 1992; Ph.D. , Tulane University, New Orleans 2000"
552,"Pouraghabagher, A. Reza (1979) Industrial and Manufacturing Engineering",Professor Emeritus (FERP),"B.S., University of Colorado, 1972; M.S., University of California, 1973; Ph.D. University of Iowa, 1977. Certified in Production and Inventory Management (CPIM)."
553,"Pressler, Yamina (2020) Natural Resources Management and Environmental Sciences",Assistant Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2013; Ph.D., Colorado State University, 2019."
554,"Prodanov, Vladimir (2009) Electrical Engineering",Professor,"M.S., State University of New York, Stony Brook, 1995; Ph.D., 1997."
555,"Pulitano, Elvira (2006) Ethnic Studies",Professor,"Laurea (B.A.), Universitá di Messina, Italy, 1993; University of New Mexico, 1997; Ph.D., 2002."
556,"Qenani-Petrela, Eivis (2002) Agribusiness",Professor,"B.S., University of Tirana, Albania, 1987; M.A., Washington State University, 1998; Ph.D., 2002."
557,"Qu, Bing (2008) Civil and Environmental Engineering",Professor,"B.S., Tongji University (China), 2001; M.S., 2004; Ph.D., State University of New York at Buffalo, 2008. Registered Professional Engineer, California."
558,"Ragsdale, Joseph J. (2002) Landscape Architecture",Professor,"B.A., University of California, Berkeley, 1991; M.L.A., University of Virginia, 2000. Registered Landscape Architect, California."
559,"Rahim, Ashraf (2003) Civil and Environmental Engineering",Professor,"B.S., University of Mansoura, Egypt, 1986; M.S., 1991; Ph.D., University of Mississippi, Oxford, 2001. Registered Professional Engineer, California."
560,"Rahman, Shikha (2007) Civil and Environmental Engineering",Professor,"B.S., Bangladesh University of Engineering and Technology (BUET), 1995; M.S., 1998; Ph.D., Georgia Institute of Technology, 2002. Registered Professional Engineer, Mississippi."
561,"Rajakaruna, Nishanta (2017) Biological Sciences",Professor,"B.S., College of the Atlantic, 1994; M.S., University of British Columbia, 1998; Ph.D., 2003."
562,"Ramezani, Cyrus A. (1999) Finance",Professor,"B.A., University of California, Santa Cruz, 1984; M.S., 1988; M.S., University of California, Berkeley, 1991; Ph.D., 1992."
563,"Ramrakhiani, Sonia H. (2017) School of Education",Associate Professor,"B.A., Psychology, St. Xavier’s College in India, 2010; M.S., Clinical Mental Health Counseling, Syracuse Univeristy, 2013; Ph.D., Old Dominion Univiersity, 2017."
564,"Rastad, Mahdi (2012) Finance",Associate Professor,"M.S., University of Illinois Urbana Campus 2009; Ph.D., University of Illinois Urbana Campus, 2012."
565,"Razi, Alpen (2015) Ethnic Studies",Assistant Professor,"B.A., University of Toronto, 2008; M.A., 2009; Ph.D., 2015."
566,"Reaves, Scott (2003) Food Science and Nutrition",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1991; Ph.D., University of Arizona, 1995."
567,"Rees, Gordon L. (2015) Natural Resources Management and Environmental Sciences",Associate Professor,"B.S., Brigham Young University, 2009; M.S., Univerisity of California, Davis, 2015; Ph.D., University of California, Davis, 2015."
568,"Rehnberg, Zoe L. (2022) Statistics",Assistant Professor,"B.A., Washington University, 2016; M.A., University of Michigan, 2019; Ph.D., Universtiy of Michigan, 2022."
569,"Reich, Jonathan (2001) Architecture",Professor,"B.A., University of Washington, Seattle, 1979; B.A.E.D., 1979; M.Arch., University of California, Berkeley, 1983. AIA, Registered Architect, California and Washington."
570,"Rein, Steven (1998) Statistics",Associate Professor,"B.A., University of California, Los Angeles, 1987; M.A., University of California, Berkeley, 1989; Ph.D., 1993."
571,"Retsek, Dylan Q. (2003) Mathematics",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1996; M.A., Washington University, 1997; Ph.D., 2001."
572,"Ribeiro, Bruno (2012) Graphic Communications",Associate Professor,"B.S., Universidade do Estado do Rio de Janeiro, 2002; M.B.A, Fundação Getúlio Vargas, 2007; M.F.A., Ohio State University, 2012."
573,"Richert, Benjamin P. (2003) Mathematics",Department Chair,"B.S., Wheaton College, 1995; Ph.D., University of Illinois, Urbana-Champaign, 2000."
574,"Ridgely, John R. (2001) Mechanical Engineering",Professor,"B.S., University of California, Berkeley, 1986; M.S., 1988; Ph.D., 2001."
575,"Riley, Kate J. (2003) Mathematics",Professor,"B.S., South Dakota State University, 1980; M.S., Montana State University, 1992; Ph.D., 2003."
576,"Rinzler, Paul (1997) Music",Professor Emeritus (FERP),"B.A., University of California, Santa Barbara, 1977; M.A., 1980; D.A., University of Northern Colorado, 1988."
577,"Rios, Laura (2019) Physics",Assistant Professor,"B.S., Oberlin College, 2012; Ph.D. UC Irvine, 2017"
578,"Ritter, Matthew K. (2003) Biological Sciences",Professor,"B.S., University of California, Santa Barbara, 1996; Ph.D., University of California, San Diego, 2002."
579,"Roberts, Joni (2019) Kinesiology and Public Health",Assistant Professor,"B.A. Washington Adventist University, 2005; MAT, American University, 2009; DrPH, Loma Linda University, 2015"
580,"Robinson, Emily A. (2022) Statistics",Assistant Professor,"B.S., Winona State University, 2017; M.S., University of Nebraska, 2019; Ph.D., University of Nebraska, 2022."
581,"Rodgers, Julie Spencer (2012) Psychology and Child Development",Professor,"B.Sc., Carleton University, 1993; B.A., 1995; M.S., San Francisco State University, 1998; Ph.D., University of California, Santa Barbara, 2005."
582,"Ronan, Briana M. (2014) School of Education",Associate Professor,"B.A., University of Texas, Austin, 2005; M.A. ,Universidad de Alcala, Spain, 2008; M.A., Teachers College, Columbia University, 2010; Ed.D., Teachers College, Columbia University, 2014."
583,"Rong, Xiaoying (2005) Graphic Communication",Professor,"B.E., Beijing Institute of Printing, 1992; M.B.A., Beijing Institute of Technology, 1999; M.S., Western Michigan University, 2003; Ph.D., Western Michigan University, 2007."
584,"Rosenthal, Mira (2016) English",Associate Professor,"B.A., Reed College, 1996; M.F.A., University of Houston, Texas, 2005; Ph.D., Indiana University, 2011."
585,"Ross, Kevin James (2012) Statistics",Associate Professor,"B.S., University of North Carolina at Chapel Hill, 1997; M.S., 2005; Ph.D., 2006."
586,"Rossman, Allan J. (2001) Statistics",Professor,"B.A., Geneva College, 1984; M.S., Carnegie Mellon University, 1986; Ph.D., 1989."
587,"Roy, Soma (2008) Statistics",Professor,"B.Sc., Delhi University, 2000; M.Sc., 2002; M.S., The Ohio State University, 2005; Ph.D., 2008."
588,"Rucas, Stacey L. (2005) Social Sciences",Professor,"B.A., University of Texas, Arlington, 1998; M.A., 2000; Ph.D., University of New Mexico, 2004."
589,"Rudi Polloshka, Jeta (2017) Agribusiness",Assistant Professor,"B.A., Berea College, 2010; M.S. Virginia Tech, 2012, University of Minnesota, Ph.D., 2016."
590,"Rummell, Kathryn English",Professor and Associate Vice Provost for Academic Personnel,"B.A., Centre College, 1990; M.A., University of North Carolina at Chapel Hill, 1992; Ph.D., 1997."
591,"Russell, Craig H. (1982) Music",Professor Emeritus (FERP),"B.M., University of New Mexico, 1973; M.M., 1976; Ph.D., University of North Carolina, 1981."
592,"Ruszczycky, Steven (2017) English",Associate Professor,"B.A., University of California, Santa Barbara, 2003; M.A., University of Auckland, 2007; Ph.D., State University of New York at Buffalo, 2014."
593,"Ruttenberg, Benjamin I. (2013) Biological Sciences",Associate Professor,"B.A., Tufts University, 1994; M.S., Yale University, 1999; Ph.D., University of California, Santa Barbara, 2006."
594,"Ryalls, Emily D. (2017) Interdisciplinary Studies in the Liberal Arts",Associate Professor,"B.A., James Madison University, 1997; M.A., The University of Alabama, 1999; Ph.D., University of South Florida, 2011."
595,"Ryujin, Donald H. (1989) Psychology and Child Development",Professor Emeritus,"B.A., Stanford University, 1968; M.A., University of Michigan, 1972; Ph.D., 1983."
596,"Sabbag, Anelise G. (2016) Statistics",Associate Professor,"B.S., Universidade de Sao Paulo, 2009; M.A., University of Minnesota, 2013; Ph.D., 2016."
597,"Sadek, Mohammad (2018) BioResource and Agricultural Engineering",Assistant Professor,"B.S., Bangladesh Agricultural University, Bangladesh, 2005; M.S., Asian Institute of Technology, Thailand, 2008; Ph.D., University of Manitoba, Canada, 2013. Registered Professional Engineer, Canada."
598,"Saghri, John A. (2000) Electrical Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1973; M.S., Oregon State University, 1975; Ph.D., Rensselaer Polytechnic Institute, 1979."
599,"Saha, Koushik (2010) Industrial Technology and Packaging",Professor,"B.S., G.B. Pant University, India, 1998; M.S., University of Florida, 2001; M.S., Michigan State University, 2005; Ph.D., Michigan State University, 2010"
600,"Saliklis, Edmond P. (2005) Architectural Engineering",Professor,"B.S., University of Illinois, Chicago, 1984; M.S., Syracuse University, 1988; Ph.D., University of Wisconsin, Madison, 1992. Registered Civil Engineer, California."
601,"Sanchez, Fernando Fabio (2011) World Languages and Cultures",Professor,"B.A., Universidad La Salle, Mexico, 1995; M.A., University of Colorado, Boulder, 2000; Ph.D., 2006."
602,"Sapper, Erik D. (2016) Chemistry and Biochemistry",Associate Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2007; M.S., California Polytechnic State University, 2007; Ph.D, North Dakota State University, 2013."
603,"Sarraf, Krista J. (2022) English",Assistant Professor,"B.A., Randolph-Macon College, 2009; M.A., James Madison University, 2014; Ph.D. Indiana University of Pennsylvania."
604,"Sattler, Meredith J. (2014) Architecture",Assistant Professor,"B.A. Studio Art, Vassar, 1995; M.Arch., M.Environmental Management, Yale, 2010."
605,"Saunders, Karl F. (2004) Physics",Professor,"B.S., Dublin City University, 1996; Ph.D., University of Oregon, 2001."
606,"Schaffner, Andrew (1997) Statistics",Professor and Department Chair,"B.S., California Polytechnic State University, San Luis Obispo, 1992; M.S., University of Washington, 1994; Ph.D., 1997."
607,"Schinck-Mikel, Amelie (2009) Mathematics",Professor,"B.Sc., Concordia University, 1999; M.Sc., 2001; Ph.D., University of North Carolina at Charlotte, 2009."
608,"Schroeter, Christiane (2007) Agribusiness",Professor,"B.S., Justus-Liebig University, 1997; M.S., 2001; M.S., Kansas State University, 2000; Ph.D., Purdue University, 2005."
609,"Schuster, Peter J. (2003) Mechanical Engineering",Professor,"B.A., Cornell University, 1991; M.S., Stanford University, 1992; Ph.D., Michigan Technological University, 2000."
610,"Schwab, Keri (2013) Experience Industry Management",Associate Professor,"B.A., James Madison University, 2000; M.A. and Ph.D., University of Utah, 2011."
611,"Schwartz, Debora (1996) English",Associate Professor,"A.B., Bryn Mawr College, 1982; M.A., Princeton University, 1986; Ph.D., 1994."
612,"Schwartz, Peter V. (2000) Physics",Professor,"B.S., Massachusetts Institute of Technology, 1986; M.S., Princeton University, 1993; Ph.D., 1998."
613,"Schwartz, Gregory (2013) BioResource and Agricultural Engineering",Associate Professor,"B.S., Cal Poly State University, San Luis Obispo, 1995; M.S., Clemson University, 1998; Ph.D., Clemson University, 2004."
614,"Scott, Gregory E. (2011) Chemistry and Biochemistry",Professor,"B.S., Davidson College, 2004; Ph.D., University of Illinois, Urbana-Champaign, 2011."
615,"Self, Brian P. (2006) Mechanical Engineering",Professor,"B.S., Virginia Polytechnic Institute and State University, 1988; M.S., 1991; Ph.D., University of Utah, 1996."
616,"Seng, John S. (2003) Computer Science, Computer Engineering",Professor,"B.S., Northwestern University, 1997; M.S., University of California, San Diego, 1999; Ph.D., 2003."
617,"Serrano-Careaga, Jesus (2020) Psychology and Child Development",Assistant Professor,"B.A., University of Arzona, 2014; M.A., University of California, Los Angeles, 2016; Ph.D., 2020."
618,"Settle, Allen K. (1970) Political Science",Professor Emeritus,"B.A., University of California, Santa Barbara, 1966; M.A., 1967; Ph.D., 1970."
619,"Shaban, Ali O. (1984) Electrical Engineering",Professor,"B.S., University of Tripoli, 1974; M.S., University of Southern California, 1978; Ph.D., Oregon State University, 1985."
620,"Shafran, Aric (2007) Economics",Professor,"B.S., Cornell University, 1999; M.A., University of Colorado, 2003; Ph.D., 2007."
621,"Shan, Yan (2016) Journalism",Associate Professor,"B.A., Nanjing University of Science and Technology, 2009; M.A., University of Central Florida, 2011; Ph.D., University of Georgia, 2014."
622,"Shani, Abraham (Rami) B. (1983) Management, HR, and Information Systems",Professor Emeritus (FERP),"B.A., University of Tel Aviv, 1972; M.A., 1978; Ph.D., Case Western Reserve University, 1981."
623,"Shapiro, Jonathan (1998) Mathematics",Professor,"B.A., University of California, Berkeley, 1988; Ph.D., 1995."
624,"Sharpe, John P. (1995) Physics",Professor,"B.Sc., Edinburgh University, 1985; Ph.D., 1989."
625,"Shen, Sandy (2021) Experience Industry Management",Assistant Professior,"B.Mgmt., Southeast Univ, China, 2010, M.Sc., Peking University, China, 2013, Ph.D. Univ. of Guelph, Canada, 2020"
626,"Sherman, Morgan P. (2008) Mathematics",Professor,"B.A., Knox College, 1999; M.A., Columbia University, 2000; M.Phil., 2004; Ph.D., 2005."
627,"Shields, Jennifer (2015) Architecture",Associate Professor,"B.S. Arch, University of Virginia, 2000; M. Arch, University of Virginia, 2004. Registered Architect, North Carolina, NCARB Certificate."
628,"Shin, Joongmin (2017) Industrial Technology and Packaging",Associate Professor,"B.S., Food Science Technologies, Woosuk University South Korea 1997, M.S., School of Packaging, Michigan State University 2003, Ph.D., School of Packaging Michigan State University 2007."
629,"Shollenberger, Kim A. (2002) Mechanical Engineering",Professor,"B.S., Cornell University, 1989; M.S., University of California, Berkeley, 1991; Ph.D., 1994."
630,"Sikalidis, Angelos (2018) Food Science and Nutrition",Associate Professor,"BSc/MEng., Aristotle University of Thessaloniki, Greece, 2003; MS, University of California, Berkeley, 2004; MSc, University of California, Berkeley, 2006; PhD, Cornell University, 2010; Post-Doctorate, Harvard Medical School, 2013"
631,"Simonian, Lonny G. (2003) Construction Management",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1978; M.S., University of California, Berkeley, 1992. Registered Professional Engineer, Certified Project Management Professional."
632,"Singh, Jagjit (Jay) (2003) Industrial Technology and Packaging",Professor,"B.S., Poona University, Pune, India, 1992; M.S., Michigan State University, 1998; Ph.D., 2002."
633,"Sistla, Seeta (2019) Natural Resources Management and Environmental Sciences",Assistant Professor,"B.A., Swarthmore College, 2004; M.A., Brown University, 2007; Ph.D., University of California Santa Barbara, 2012."
634,"Sklar, Jeffrey C. (2005) Statistics",Professor,"B.A.S., University of California, Davis, 1995; M.A., University of California, Santa Barbara, 1998; Ph.D., 2003."
635,"Slivovsky, Lynne A. (2003) Computer Engineering","Professor, Director of Computer Engineering","B.S., Purdue University, 1992; M.S., 1993; Ph.D., 2001."
636,"Smith, Hugh M. (2000) Computer Engineering",Professor,"B.S., Xavier University, 1985; M.S., Michigan State University, 1994; Ph.D., 1999."
637,"Smith, Taylor F. (2014) Psychology and Child Development",Associate Professor,"B.A., SUNY Geneseo, Geneseo, 2006; M.S. UNC at Greensboro, 2009; Ph.D., University of North Carolina at Greensboro, 2012; Professional Degree, Brown University/Alpert Med School/RIH, 2014."
638,"Somoza-Norton, Andrea Fabiana (2015) School of Education",Associate Professor,"B.A., University of Nevada, Reno, 1999; M.S., University of Nevada, Reno, 2004; Ed.D., University of Massachusetts, Lowell, 2012."
639,"Sparks, Jacob (2020) Philosophy",Assistant Professor,"B.S. Tufts Univeristy, 2005; M.A, Bowling Green State University, 2009; Ph.D, Bowling Green State University, 2018."
640,"Speece, Jill (2022) Industrial and Manufacturing Engineering",Assistant Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2004; M.S., University of Southern California, 2007; Ph.D., Colorado State University, 2021."
641,"Sprayberry, Kim A. (2013) Animal Science",Professor,"B.S., University of California, Davis, 1983; DVM, University of California, Davis, 1988; Diplomate, American College of Veterinary Internal Medicine, University of California, Davis, 1998."
642,"Staley, Clinton A. (1988) Computer Science",Professor,"B.A., Principia College, 1980; M.S., University of California, Santa Barbara, 1982; Ph.D., 1987."
643,"Stanchev, Lubomir (2015) Computer Science",Professor,"B.S., University of Sofia, 1998; M.S., 1998; Ph.D., University of Waterloo, 2005."
644,"Stanko, Taryn (2014) Management, HR, and Information Systems",Associate Professor,"B.A., University of California, Los Angeles; M.B.A., New York University; Ph.D., University of California, Irvine."
645,"Stankus, Mark (1998) Mathematics",Professor,"B.S., Rensselaer Polytechnic Institute, 1987; Ph.D., University of California, San Diego, 1993."
646,"Stannard, Sandra (2001) Architecture",Professor,"B.A., University of California, Berkeley, 1987; M.Arch., University of Washington, 1992. AIA, Registered Architect, California and Idaho."
647,"Stanton, Diana L. (2000) Theatre and Dance",Professor,"B.A., University of California, Irvine, 1994; M.F.A., University of Colorado, Boulder, 1997."
648,"Stegner, Paul Dustin (2007) English",Professor,"B.A., University of San Francisco, 2000; M.A., The Pennsylvania State University, 2002; Ph.D., 2007."
