,NAME,POSITION,EDUCATION
153,"Deigert, Michael (2017) Architectural Engineering",Assistant Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1992; M.S., San Jose State University, 1995. Registered Civil Structural Engineer, California, Arizona. Registered Civil Engineer, Colorado."
154,"Dekhtyar, Alexander (2007) Computer Science",Professor,"Ph.D., University of Maryland College Park, 2000."
155,"Del Rio Nascimento, Vicente (2001) City and Regional Planning",Professor Emeritus (FERP),"B.Arch., Federal University of Rio de Janeiro, 1978; Graduate Diploma in Urban and Regional Planning, State University of Rio de Janeiro, 1979; M.A., Oxford Polytechnic, 1981; Ph.D., University of São Paulo, 1991. Registered Architect, Brazil."
156,"Delbridge, Timothy A. (2015) Agribusiness",Associate Professor,"B.A., University of Wisconsin, 2003; M.S. University of Minnesota, 2011; Ph.D., 2015."
157,"Den Hartog, Christopher (2006) Political Science",Professor,"B.A., University of California, San Diego, 1996; Ph.D., 2004."
158,"Den Otter, Ronald (2005) Political Science",Professor,"B.A., University of California, Davis, 1989; J.D., University of Pennsylvania, 1992; Ph.D., University of California, Los Angeles, 2003."
159,"Denbow, Jennifer (2015) Political Science",Associate Professor,"B.S., University of Michigan, 2003; J.D., University of California, Berkeley, 2007; Ph.D., University of California, Berkeley, 2010."
160,"DePiero, Fred (1996) Computer Engineering",Professor,"B.S., Michigan State University, 1985; M.S., Michigan State University, 1987; Ph.D., University of Tennessee, 1996"
161,"Derelian, Doris (2004) Food Science and Nutrition",Professor Emeritus (FERP),"B.S., California State University, Fresno, 1968; M.S., University of California, Davis, 1975; Ph.D., University of California, Los Angeles, 1994; J.D., University of California, Davis, 2001. Registered Dietitian."
162,"Derickson, Dennis (2005) Electrical Engineering",Professor,"B.S., South Dakota State University, 1981; M.S., University of Wisconsin–Madison, 1988; Ph.D., University of California, Santa Barbara, 1992."
